Année,Écart de températures (degrés Celsius),Classement des années les plus chaudes
1948,-0.4,64.0
1949,-0.4,66.0
1950,-1.5,76.0
1951,-0.8,73.0
1952,0.6,34.0
1953,0.6,30.0
1954,-0.2,56.0
1955,-0.3,63.0
1956,-0.9,74.0
1957,-0.4,65.0
1958,0.4,40.0
1959,-0.6,69.0
1960,0.3,43.0
1961,-0.3,61.0
1962,-0.2,57.0
1963,0.1,46.0
1964,-0.6,70.0
1965,-0.7,71.0
1966,-0.3,62.0
1967,-0.5,67.0
1968,0.1,45.0
1969,0.3,42.0
1970,-0.3,60.0
1971,0.0,50.0
1972,-1.9,77.0
1973,0.7,27.0
1974,-0.7,72.0
1975,-0.1,53.0
1976,0.1,48.0
1977,1.0,21.0
1978,-0.5,68.0
1979,-0.2,58.0
1980,0.4,39.0
1981,2.0,8.0
1982,-1.0,75.0
1983,0.1,44.0
1984,0.3,41.0
1985,0.0,51.0
1986,0.1,47.0
1987,1.6,14.0
1988,0.8,26.0
1989,-0.2,59.0
1990,-0.1,55.0
1991,0.5,37.0
1992,-0.1,54.0
1993,0.5,38.0
1994,0.5,35.0
1995,0.6,33.0
1996,0.0,52.0
1997,0.6,29.0
1998,2.3,5.0
1999,1.7,11.0
2000,0.8,23.0
2001,1.8,10.0
2002,0.5,36.0
2003,1.1,20.0
2004,0.0,49.0
2005,1.6,12.0
2006,2.5,4.0
2007,0.9,22.0
2008,0.7,28.0
2009,0.8,24.0
2010,3.1,2.0
2011,1.4,15.0
2012,1.8,9.0
2013,0.8,25.0
2014,0.6,31.0
2015,1.3,16.0
2016,2.1,6.0
2017,1.6,13.0
2018,0.6,32.0
2019,1.1,18.0
2020,1.2,17.0
2021,2.1,7.0
2022,1.1,19.0
2023,2.9,3.0
2024,3.1,1.0
